Representative_Sequence	total	0001	0002	0003	0004	0005	0006	0007	0008	0009	0010	0011	0012	0013	0014	0015	0016	0017	0018	0019	0020	0021	0022	0023	0024	0025	0026	0027	0028	0029	0030	0031	0032	0033	0034	0035	0036	0037	0038	0039	0040	0041	0042	0043	0044	0045	0046	0047	0048	0049	0050	0051	0052	0053	0054	0055	0056	0057	0058	0059	0060	0061	0062	0063	0064	0065	0066	0067	0068	0069	0070	0071	0072	0073	0074	0075	0076	0077	0078	0079	0080	0081	0082	0083	0084	0085	0086	0087	0088	0089	0090	0091	0092	0093	0094	0095	0096	0097	0098	0099	0100	0101	0102	0103	0104	0105	0106	0107	0108	0109	0110	0111	0112	0113	0114	0115	0116	0117	0118	0119	0120	0121	0122	0123	0124	0125	0126	0127	0128	0129	0130	0131	0132	0133	0134	0135	0136	0137	0138	0139	0140	0141	0142	0143	0144	0145	0146	0147	0148	0149	0150	0151	0152	0153	0154	0155	0156	0157	0158	0159	0160	0161	0162	0163	0164	0165	0166	0167	0168	0169	0170	0171	0172	0173	0174	0175	0176	0177	0178	0179	Mock1	Mock2	NTCI1	NTCI2	NTCTS1	NTCTS2
Zotu39	7787	45	0	0	0	0	0	0	3671	0	0	0	0	0	0	0	0	174	0	0	2477	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0
Zotu489	1851	21	97	0	0	0	0	0	4	0	1	38	0	27	0	0	119	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	23	0	0	14	0	0	0	0	7	0	129	0	0	0	0	37	0	0	0	0	23	0	23	1	21	35	0	0	0	25	0	0	0	0	0	121	0	60	0	152	0	1	0	22	5	7	0	58	0	34	54	2	15	0	0	1	57	1	0	0	1	0	7	0	0	0	0	23	58	0	15	23	2	0	0	0	45	2	0	0	0	0	1	0	2	0	0	12	28	9	0	0	0	20	0	0	17	8	24	0	0	5	0	7	0	13	4	1	0	7	0	2	0	0	0	0	22	0	7	0	24	0	0	0	2	0	17	17	0	13	0	5	0	0	1	0	0	5	86	0	0	8	0	15	3	0	1	0	0	0	0	0	0	0
Zotu3268	73	61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu616	832	299	0	0	1	1	0	0	0	0	0	0	0	21	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	32	5	0	1	0	2	0	0	0	0	0	0	0	69	0	0	1	16	0	0	148	0	0	0	83	7	5	0	2	53	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	171	1	0	0	0	0	114	23	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Zotu537	2216	114	73	2	10	61	0	0	0	0	0	0	3	15	0	0	43	0	0	71	0	66	0	52	6	333	21	0	15	0	112	0	0	0	0	0	0	0	2	0	2	1	0	102	0	8	86	102	1	0	0	43	0	10	0	44	0	19	0	0	0	2	0	0	0	0	8	0	14	21	0	13	70	36	0	19	5	0	0	5	0	0	39	0	10	0	22	0	80	0	0	0	2	0	0	0	0	0	0	0	8	1	36	0	4	0	0	0	2	0	13	0	0	0	15	0	0	60	0	4	0	0	0	5	0	0	0	0	1	2	17	3	0	16	0	0	0	0	0	0	0	2	3	0	2	0	0	25	127	1	4	0	7	0	2	0	0	0	0	0	25	0	1	129	0	0	0	1	32	2	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0
Zotu172	3078	55	92	2	29	10	0	1	26	12	0	10	0	13	0	0	8	47	332	2	0	0	0	161	0	0	3	1	1	24	112	36	2	0	0	7	0	35	25	0	2	35	5	9	0	21	0	368	0	0	21	4	0	150	5	1	8	12	59	114	9	20	2	42	9	45	44	0	8	60	13	27	5	139	0	0	4	0	0	20	0	0	102	3	53	7	0	0	3	12	18	1	5	10	0	0	0	2	0	4	2	6	1	0	1	64	7	48	1	1	0	2	38	11	9	0	20	0	0	40	7	4	0	11	0	14	0	6	1	2	1	2	0	0	22	39	4	2	2	2	0	2	0	14	3	26	0	6	0	2	1	15	1	0	2	4	0	0	1	82	0	7	1	3	7	2	13	0	4	1	1	0	28	0	0	0	4	5	1	0	0	0	0	0	0	0
Zotu157	5295	129	0	0	868	288	0	0	0	56	123	160	39	12	0	0	0	409	0	0	0	0	16	7	0	19	0	18	124	0	0	1	36	1	0	186	0	1	10	24	1	3	3	5	41	200	0	1	0	8	2	0	0	100	14	32	6	125	5	187	0	4	179	14	89	259	58	79	0	266	170	0	7	3	0	6	0	77	0	0	0	0	165	181	53	2	0	127	7	16	85	5	0	0	0	6	0	0	0	0	0	14	28	4	0	0	3	0	0	7	0	0	1	0	7	0	2	0	0	0	0	7	0	0	13	0	0	0	8	0	8	20	0	16	0	1	0	8	4	20	0	0	0	0	1	0	0	0	0	0	21	0	1	0	2	0	11	15	11	38	0	0	0	12	1	2	0	0	0	0	0	1	0	16	0	0	2	0	1	0	0	0	0	0	0	0
Zotu666	1044	15	0	0	0	0	0	0	0	0	1	26	23	0	0	0	10	0	52	0	0	0	0	74	0	0	0	0	0	0	0	0	404	0	0	0	0	0	10	1	0	0	1	0	0	87	5	0	87	0	0	0	0	0	0	0	83	0	0	0	0	0	0	6	0	1	0	0	0	0	0	21	1	24	0	24	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	6	0	1	0	0	0	0	0	0	0	0	0	0
Zotu464	651	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Zotu4315	2280	15	0	0	2	23	0	2	0	12	15	123	48	38	0	0	46	62	0	0	0	0	4	17	26	0	0	3	15	2	8	8	0	1	0	11	0	49	22	35	155	2	1	0	0	108	34	0	50	1	4	0	75	6	0	9	0	9	17	339	27	4	11	8	11	114	45	0	0	1	15	0	0	33	0	14	0	14	0	10	17	137	18	21	1	0	0	31	51	11	23	0	0	6	0	3	0	0	0	1	0	0	5	0	47	0	0	0	0	12	0	0	0	7	10	0	0	0	0	0	0	4	0	5	12	1	0	0	1	2	8	7	0	3	0	0	2	0	19	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	20	4	0	0	0	14	0	4	10	0	0	0	2	3	11	0	0	0	0	1	7	10	29	0	0	0	0	0	0	0
